Sr#,Code,Word,Block,Session
1,ETW-1,Taunted,A1,1
2,ETW-2,Inferior,A1,1
3,ETW-3,Reluctant,A1,1
4,ETW-4,Unconfident,A1,1
5,ETW-5,Discomfort,A1,1
6,ETW-6,Self-doubt,A1,1
7,ETW-7,Worthless,A1,1
8,ETW-8,Glared,A1,1
9,ETW-9,Misjudged,A1,1
10,ETW-10,Inept,A1,1
11,ETW-11,Stress,A1,1
12,ETW-12,Guilt,A1,1
13,ETW-13,Stupid,A1,1
14,ETW-14,Stares,A1,1
15,ETW-15,Mocked,A1,1
16,ETW-16,Unworthy,A1,1
17,ETW-17,Nervous,A1,1
18,ETW-18,Ignored,A1,1
19,ETW-19,Unnoticed,A1,1
20,ETW-20,Panic,A1,1
21,EPW-1,Ability,A1,1
22,EPW-2,Competent,A1,1
23,EPW-3,Confidence,A1,1
24,EPW-4,Peace,A1,1
25,EPW-5,Bright,A1,1
26,EPW-6,Encouragement,A1,1
27,EPW-7,Flexible,A1,1
28,EPW-8,Generous,A1,1
29,EPW-9,Gracious,A1,1
30,EPW-10,Ready,A1,1
1,ETW-81,Shamed,B1,1
2,ETW-82,Degraded,B1,1
3,ETW-83,Hurt,B1,1
4,ETW-84,Hiding,B1,1
5,ETW-85,Insecure,B1,1
6,ETW-86,Doubt,B1,1
7,ETW-87,Compared,B1,1
8,ETW-88,Judged,B1,1
9,ETW-89,Trembling,B1,1
10,ETW-90,Weakness,B1,1
11,ETW-91,Unheard,B1,1
12,ETW-92,Bothered,B1,1
13,ETW-93,Trapped,B1,1
14,ETW-94,Audience,B1,1
15,ETW-95,Stigmatized,B1,1
16,ETW-96,Laugh at,B1,1
17,ETW-97,Teased,B1,1
18,ETW-98,Blanked,B1,1
19,ETW-99,Disrespected,B1,1
20,ETW-100,Neglected,B1,1
21,EPW-11,Loving,B1,1
22,EPW-12,Stable,B1,1
23,EPW-13,Joyful,B1,1
24,EPW-14,Influence,B1,1
25,EPW-15,Grateful,B1,1
26,EPW-16,Spirit,B1,1
27,EPW-17,Amazing,B1,1
28,EPW-18,Included,B1,1
29,EPW-19,Understood,B1,1
30,EPW-20,Valued,B1,1
1,ETW-1, Taunted,C1,1
2,ETW-2, Inferior,C1,1
3,ETW-3, Reluctant,C1,1
4,ETW-4, Unconfident,C1,1
5,ETW-5, Discomfort,C1,1
6,ETW-41,Deficient,C1,1
7,ETW-42,Defeated,C1,1
8,ETW-43,Terrified,C1,1
9,ETW-44,Stressed,C1,1
10,ETW-45,Distressed,C1,1
11,ETW-46,Afraid,C1,1
12,ETW-47,Overpowered,C1,1
13,ETW-48,Defamed,C1,1
14,ETW-49,Weak,C1,1
15,ETW-50,Excluded,C1,1
16,ETW-51,Unstable,C1,1
17,ETW-52,Backing out,C1,1
18,ETW-53,Ridiculed,C1,1
19,ETW-54,Blamed,C1,1
20,ETW-55,Disrespect,C1,1
21,EPW-21,Honored,C1,1
22,EPW-22,Calm,C1,1
23,EPW-23,Resilient,C1,1
24,EPW-24,Caring,C1,1
25,EPW-25,Accepted,C1,1
26,EPW-26,Remembered,C1,1
27,EPW-27,Courage,C1,1
28,EPW-28,Patience,C1,1
29,EPW-29,Team,C1,1
30,EPW-30,Confident,C1,1
1,ETW-21, Apprehension,A2,2
